"Row.names"	"microfraction"	"picofraction"	"Kingdom"	"Domain"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"ASV_40"	515	8297	"k:Eukaryota"	"d:Alveolata"	"p:Alveolata-Perkinsea"	"c:Perkinsida"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified"
"ASV_41"	7974	1918	"k:Eukaryota"	"d:Alveolata"	"p:Alveolata-Ciliophora"	"c:CONThreeP"	"Unclassified"	"Unclassified"	"g:Askenasia"	"s:Askenasia_sp."
"ASV_42"	487	8936	"k:Eukaryota"	"d:Stramenopiles"	"p:Stramenopiles-Gyrista"	"c:Chrysophyceae"	"o:Chrysophyceae_env_clade-I"	"Unclassified"	"Unclassified"	"Unclassified"
"ASV_43"	7758	2075	"k:Eukaryota"	"d:Alveolata"	"p:Alveolata-Ciliophora"	"c:Spirotrichea"	"o:Choreotrichida-Tintinnina"	"f:Tintinnidiidae"	"Unclassified"	"Unclassified"
"ASV_44"	7164	2513	"k:Eukaryota"	"d:Stramenopiles"	"p:Stramenopiles-Gyrista"	"c:Mediophyceae"	"o:Thalassiosirales"	"f:Stephanodiscaceae"	"g:Cyclotella"	"s:Cyclotella_sp."
"ASV_45"	8676	1061	"k:Eukaryota"	"d:Cryptista"	"p:Cryptophyta-Cryptophyta_X"	"c:Cryptophyceae"	"o:Cryptomonadales"	"Unclassified"	"Unclassified"	"Unclassified"
"ASV_46"	1049	6957	"k:Eukaryota"	"d:Stramenopiles"	"p:Stramenopiles-Gyrista"	"c:Chrysophyceae"	"o:Chrysophyceae_env_clade-I"	"Unclassified"	"Unclassified"	"Unclassified"
"ASV_48"	867	8859	"k:Eukaryota"	"d:Stramenopiles"	"p:Stramenopiles-Gyrista"	"c:Chrysophyceae"	"o:Ochromonadales"	"Unclassified"	"Unclassified"	"Unclassified"
"ASV_49"	2086	6104	"k:Eukaryota"	"d:Stramenopiles"	"p:Stramenopiles-Bigyra"	"c:Opalozoa"	"Unclassified"	"f:MAST-12"	"g:MAST-12C"	"s:MAST-12C_sp."
"ASV_5"	1993	41762	"k:Eukaryota"	"d:Alveolata"	"p:Alveolata-Perkinsea"	"c:Perkinsida"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified"
"ASV_50"	1257	5935	"k:Eukaryota"	"d:Alveolata"	"p:Alveolata-Ciliophora"	"c:Spirotrichea"	"o:Oligotrichida"	"f:Pelagostrombidiidae"	"Unclassified"	"Unclassified"
"ASV_51"	8734	1026	"k:Eukaryota"	"d:Alveolata"	"p:Alveolata-Ciliophora"	"c:CONThreeP"	"Unclassified"	"Unclassified"	"g:Askenasia"	"s:Askenasia_sp."
"ASV_53"	2546	5616	"k:Eukaryota"	"d:Alveolata"	"p:Alveolata-Chrompodellids"	"c:Colpodellidea"	"o:Colpodellida"	"f:Colpodellida_CHR1"	"Unclassified"	"Unclassified"
"ASV_54"	6327	1077	"k:Eukaryota"	"d:Cryptista"	"p:Cryptophyta-Cryptophyta_X"	"c:Cryptophyceae"	"o:Cryptomonadales"	"Unclassified"	"Unclassified"	"Unclassified"
"ASV_57"	5154	1455	"k:Eukaryota"	"d:Alveolata"	"p:Alveolata-Ciliophora"	"c:Spirotrichea"	"o:Choreotrichida"	"f:Strobilidiidae"	"Unclassified"	"Unclassified"
"ASV_58"	529	6252	"k:Eukaryota"	"d:Stramenopiles"	"p:Stramenopiles-Gyrista"	"c:Chrysophyceae"	"o:Chrysophyceae_env_clade-I"	"Unclassified"	"Unclassified"	"Unclassified"
"ASV_59"	298	7008	"k:Eukaryota"	"d:Alveolata"	"p:Alveolata-Perkinsea"	"c:Perkinsida"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified"
"ASV_6"	37265	14203	"k:Eukaryota"	"d:Stramenopiles"	"p:Stramenopiles-Gyrista"	"c:Mediophyceae"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified"
"ASV_60"	5611	961	"k:Eukaryota"	"d:Stramenopiles"	"p:Stramenopiles-Gyrista"	"Unclassified"	"Unclassified"	"f:MAST-2"	"g:MAST-2A"	"s:MAST-2A_sp."
"ASV_61"	4123	2950	"k:Eukaryota"	"d:Alveolata"	"p:Alveolata-Ciliophora"	"c:Spirotrichea"	"o:Hypotrichia"	"Unclassified"	"Unclassified"	"Unclassified"
"ASV_62"	353	6373	"k:Eukaryota"	"d:Alveolata"	"p:Alveolata-Perkinsea"	"c:Perkinsida"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified"
"ASV_63"	704	5398	"k:Eukaryota"	"d:Stramenopiles"	"p:Stramenopiles-Gyrista"	"c:Chrysophyceae"	"o:Chrysophyceae_env_clade-I"	"Unclassified"	"Unclassified"	"Unclassified"
"ASV_65"	1496	4393	"k:Eukaryota"	"d:Alveolata"	"p:Alveolata-Perkinsea"	"c:Perkinsida"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified"
"ASV_66"	2717	3035	"k:Eukaryota"	"d:Cryptista"	"p:Cryptophyta-Cryptophyta_X"	"c:Cryptophyceae"	"Unclassified"	"f:Basal_Cryptophyceae-1"	"Unclassified"	"Unclassified"
"ASV_67"	2676	2915	"k:Eukaryota"	"d:Cryptista"	"p:Cryptophyta-Cryptophyta_X"	"c:Cryptophyceae"	"Unclassified"	"f:Basal_Cryptophyceae-2"	"Unclassified"	"Unclassified"
