Sample	Region	Fraction_size	River_part	Riverine_vs_Lentic	Max_depth	distance_from_source_of_the_river	T	DO	TDS	ntu	Transparancy	Color		name_of_hpp	hpp	site_after_hpp
128	Gorny Balykley bay (from a boat)	0.2um	Lower_Volga	reach	11	616	20,65	102,28	0,21	5,66	250	25			hpp5	normal
129	Lower b'ef of the Volzhskaya HPP (Volzhsky)	0.2um	Lower_Volga	reach	27,1	541	20,4	92,4	0,21	4,07	280	20			hpp5	normal
130	Volgograd, upper b'ef of the Volgograd HPP	0.2um	Lower_Volga	reach	11	524	20,7	90,55	0,21	3,83	250	20	After the hydropower plant	Volga Hydroelectric Station	hpp6	hpp
131	Rajgorod	0.2um	Lower_Volga	reach	9,2	455	20,4	85,83	0,21	5,6	230	30			hpp6	normal
132	Cherny Yar	0.2um	Lower_Volga	reach	4	319	20,9	86,4	0,21	10,9	130	25			hpp6	normal
133	Vetlyanka	0.2um	Lower_Volga	reach	6	236	20,69	93,44	0,21	16,32	110	20			hpp6	normal
134	Seroglazka	0.2um	Lower_Volga	reach	7	125	20,89	87,46	0,21	21,8	100	30			hpp6	normal
135	Zam'yany	0.2um	Lower_Volga	reach	7	97	20,78	92,25	0,21	28,6	90	25			hpp6	normal
136	Vernelebyazhye (Alpine village)	0.2um	Lower_Volga	reach	9	80	20,8	89,28	0,22	29,17	110	20			hpp6	normal
137	Astrakhan' sleeve Krivaya Bolda	0.2um	Lower_Volga	reach	2	22	20,8	85,03	0,21	16,4	85	30			hpp6	normal
138	Below Astrakhan (golden backwater)	0.2um	Lower_Volga	reach	6	12	20,8	84,19	0,22	29,3	75	25			hpp6	normal
139		minus	control	control												
140		plus	control	control												
