"mindex","n","predictors","rsquare","adjr","rmse","predrsq","cp","aic","sbic","sbc","msep","fpe","apc","hsp"
401,5,"Fraction_size distance_from_source_of_the_river T Transparancy Color",0.381237563975765,0.357799592914241,0.370341912143069,0.326983531158535,4.29468681797994,131.468337927879,-259.456040718637,151.959113723979,19.7919298110266,0.14962159842522,0.675013566571893,0.00109456003937025
402,5,"Fraction_size distance_from_source_of_the_river T DO Transparancy",0.380590040165766,0.357127541687196,0.370535639563188,0.327429512792115,4.43103787473302,131.612676945975,-259.324728759622,152.103452742076,19.8126417111879,0.14977817474891,0.675719956182801,0.00109570547685271
403,5,"Riverine_vs_Lentic distance_from_source_of_the_river T ntu Transparancy",0.380513988072666,0.357048608832994,0.370558386328531,0.327666689097882,4.44705239512956,131.629619754896,-259.309314521526,152.120395550996,19.8150743373478,0.149796564740078,0.675802922102546,0.00109584000923085
404,5,"Riverine_vs_Lentic distance_from_source_of_the_river T DO Transparancy",0.380472208808426,0.357005247020866,0.370570881683891,0.329357023220882,4.45584998178424,131.638926412259,-259.300847454488,152.12970220836,19.8164107020287,0.149806667293065,0.675848499481717,0.00109591391467573
405,5,"Fraction_size distance_from_source_of_the_river T TDS Transparancy",0.380333610455005,0.356861398729815,0.370612330705658,0.320317278812589,4.48503505831951,131.669795783903,-259.272762671185,152.160571580003,19.8208439525351,0.14984018145936,0.675999697685449,0.00109615908828412
406,5,"Riverine_vs_Lentic Max_depth distance_from_source_of_the_river ntu Transparancy",0.379742399339779,0.356247793254164,0.370789085404504,0.322854885664607,4.60952817977761,131.801396012189,-259.153029036453,152.292171808289,19.8397546171372,0.149983140932846,0.676644655265696,0.00109720491140441
407,5,"Riverine_vs_Lentic Max_depth distance_from_source_of_the_river TDS Transparancy",0.379649952588383,0.356151844731882,0.370816716641269,0.319610432671875,4.62899497320146,131.821962791277,-259.134316140031,152.312738587377,19.8427116479917,0.150005495280666,0.676745506267219,0.00109736844511938
408,5,"Fraction_size distance_from_source_of_the_river T ntu Transparancy",0.379449516621484,0.35594381649351,0.37087661750272,0.324245424554184,4.67120138395558,131.866543582382,-259.093753238609,152.357319378482,19.8491228558438,0.150053962265737,0.676964163685653,0.00109772300639693
409,5,"Fraction_size Max_depth distance_from_source_of_the_river T Transparancy",0.379020060135696,0.355498092716594,0.371004929240194,0.31898593965343,4.76163334145645,131.962014456543,-259.006883975623,152.452790252644,19.8628595860148,0.150157808204205,0.677432661670149,0.00109848269360583
410,5,"Riverine_vs_Lentic Max_depth distance_from_source_of_the_river DO Transparancy",0.378867714409753,0.355339976319214,0.37105043598323,0.323392129558021,4.79371324400734,131.995866003698,-258.976081424651,152.486641799798,19.8677325643007,0.15019464659274,0.677598857007542,0.00109875218563391
411,5,"distance_from_source_of_the_river T DO Transparancy Color",0.378297752639651,0.354748425088123,0.371220638108417,0.327395793271335,4.91373182627757,132.122439135845,-258.860904435024,152.613214931945,19.8859635406691,0.150332467808313,0.678220633484017,0.0010997604197173
412,5,"Riverine_vs_Lentic Max_depth distance_from_source_of_the_river T Transparancy",0.378110127345739,0.354553692775502,0.371276649750182,0.319787790307105,4.95324065468432,132.164080266147,-258.823011039937,152.654856062248,19.8919649823076,0.150377837072421,0.67842531562283,0.00110009231955016
413,5,"Fraction_size Max_depth distance_from_source_of_the_river ntu Transparancy",0.378077056065793,0.354519368795558,0.371286521619243,0.319458542893526,4.96020457461915,132.17141872829,-258.816332970013,152.66219452439,19.8930228106652,0.150385833966672,0.678461393382771,0.00110015082100301
414,5,"Fraction_size Max_depth distance_from_source_of_the_river DO Transparancy",0.377766196342277,0.354196734082515,0.37137930128564,0.320675552084285,5.02566325142595,132.240378918107,-258.753577443394,152.731154714207,19.9029660675126,0.150461002280084,0.678800513081152,0.00110070071642555
415,5,"distance_from_source_of_the_river T DO TDS Transparancy",0.377687421567782,0.354114975415047,0.371402808843946,0.322301722329804,5.0422510951191,132.257848606744,-258.737679266186,152.748624402844,19.9054857822155,0.150480050636916,0.678886449198783,0.00110084006509194
416,5,"Fraction_size distance_from_source_of_the_river DO ntu Transparancy",0.377564485036918,0.353987382197408,0.371439491951214,0.325094277948592,5.06813821407596,132.285107521868,-258.712872211326,152.775883317969,19.9094180687417,0.150509777651973,0.679020561777907,0.00110105753371355
417,5,"Fraction_size Max_depth distance_from_source_of_the_river Transparancy Color",0.376921538289356,0.353320081406378,0.3716312822395,0.318744908962833,5.20352546488013,132.427581489573,-258.583208298076,152.918357285674,19.9299835655449,0.150665247206154,0.679721958229793,0.00110219487459973
418,5,"Fraction_size distance_from_source_of_the_river DO Transparancy Color",0.376729991798425,0.353121279366547,0.371688401207943,0.325640349402518,5.24385999166134,132.469998865765,-258.544603090886,152.960774661865,19.936110431824,0.150711564646382,0.679930918038082,0.00110253371083549
419,5,"Fraction_size Riverine_vs_Lentic TDS ntu Transparancy",0.376729695577721,0.353120971925362,0.371688489533858,0.322909495440151,5.24392236775535,132.470064452825,-258.544543397736,152.960840248925,19.9361199068326,0.150711636274866,0.679931241187941,0.00110253423483522
420,5,"Fraction_size Riverine_vs_Lentic ntu Transparancy Color",0.376719836117976,0.353110739001232,0.371691429376476,0.322723465621243,5.24599850416061,132.472247445779,-258.542556576048,152.963023241879,19.9364352746117,0.150714020369376,0.679941996962208,0.00110255167573017
421,5,"Max_depth distance_from_source_of_the_river T Transparancy Color",0.376704027073409,0.35309433112922,0.371696143186936,0.318099409211002,5.24932746272506,132.475747670251,-258.539370889636,152.966523466352,19.9369409476814,0.150717843120047,0.679959243192645,0.00110257964114539
422,5,"Fraction_size Max_depth distance_from_source_of_the_river TDS Transparancy",0.376609540820766,0.352996265851855,0.371724315071835,0.311790216238573,5.26922372012524,132.496665685486,-258.520332507399,152.987441481586,19.9399632146639,0.150740690635227,0.680062319104619,0.00110274678263684
423,5,"distance_from_source_of_the_river T ntu Transparancy Color",0.376413072892266,0.352792355956367,0.371782886831955,0.322514852101497,5.31059456897341,132.540150955797,-258.480754112361,153.030926751897,19.9462474995923,0.150788198117566,0.680276647753892,0.00110309432465141
424,5,"Fraction_size distance_from_source_of_the_river DO TDS Transparancy",0.376387334053727,0.352765642161822,0.371790559507999,0.318744363657336,5.31601447443512,132.545846852009,-258.475569897552,153.03662264811,19.9470707901739,0.150794421970114,0.680304726486844,0.00110313985537933
425,5,"distance_from_source_of_the_river T DO ntu Transparancy",0.376209912649204,0.352581500249553,0.371843444027324,0.323900814456764,5.3533746388394,132.585103064847,-258.439839831891,153.075878860948,19.9527458469983,0.150837323853929,0.680498277109959,0.00110345370503828
426,5,"Fraction_size distance_from_source_of_the_river ntu Transparancy Color",0.376191008796751,0.352561880342083,0.371849078310787,0.322685550792256,5.35735528050671,132.589285067998,-258.436033434626,153.080060864099,19.9533505115661,0.150841894953362,0.680518899494453,0.00110348714501505
427,5,"distance_from_source_of_the_river T TDS ntu Transparancy",0.376164159757795,0.352534014294075,0.371857080506255,0.318665763009171,5.36300896424464,132.595224526541,-258.430627414925,153.086000322642,19.9542093133672,0.150848387261057,0.680548189355133,0.00110353463963241
428,5,"Max_depth distance_from_source_of_the_river T TDS Transparancy",0.376125054007013,0.352493427264855,0.371868735433317,0.313280028016325,5.37124358104461,132.603874918394,-258.42275391173,153.094650714494,19.9554601622061,0.150857843337572,0.680590850174167,0.00110360381576468
429,5,"Fraction_size distance_from_source_of_the_river TDS ntu Transparancy",0.376089516880775,0.352456544035349,0.371879326464496,0.316332517905714,5.37872674172812,132.611735442019,-258.415599311782,153.102511238119,19.9565968638985,0.15086643649275,0.680629617948246,0.00110366667917724
430,5,"Riverine_vs_Lentic TDS ntu Transparancy Color",0.376016807482782,0.352381080493493,0.371900994904888,0.325786561497918,5.39403738065619,132.627816775117,-258.400962101276,153.118592571217,19.9589225695617,0.150884018194086,0.680708937291511,0.00110379529849363
431,5,"distance_from_source_of_the_river T TDS Transparancy Color",0.376010852303205,0.352374899738933,0.371902769577629,0.320784373296096,5.39529138091979,132.629133815175,-258.399763328161,153.119909611275,19.9591130538079,0.150885458203103,0.680715433851049,0.00110380583291074
