"VarA"	"VarB"	"cor"	"p"	"fdr"
"p:Alveolata-Alveolata_X"	"p:Opisthokonta-Ichthyosporea"	-0.123219433103555	0.02	0.0534375
"p:Alveolata-Chrompodellids"	"p:Opisthokonta-Ichthyosporea"	-0.15423243784185	0.06	0.14054794520548
"p:Opisthokonta-Choanoflagellata"	"p:Opisthokonta-Ichthyosporea"	-0.0722878891254508	0.44	0.632268907563025
"p:Centroplasthelida-Centroplasthelida_X"	"p:Opisthokonta-Ichthyosporea"	-0.0896716731813604	0.2	0.367741935483871
"p:Kathablepharidacea-Kathablepharida"	"p:Opisthokonta-Ichthyosporea"	-0.0236850435419557	0.62	0.803181818181818
"p:Opisthokonta-Ichthyosporea"	"p:Rhodophyta-Rhodophyta_X"	-0.0457405712024074	0.2	0.367741935483871
"p:Ancyromonadida-Ancyromonadida_X"	"p:Opisthokonta-Ichthyosporea"	0.00466441050635503	0.92	1
"p:Opisthokonta-Ichthyosporea"	"p:Opisthokonta-Ichthyosporea"	1	1	1
"p:Alveolata-Ciliophora"	"p:Evosea-Evosea_X"	-0.224971272411142	0	0
"p:Cryptophyta-Cryptophyta_X"	"p:Evosea-Evosea_X"	-0.354106745558687	0	0
"p:Alveolata-Perkinsea"	"p:Evosea-Evosea_X"	0.0350369190919214	0.56	0.754015748031496
"p:Chlorophyta-Chlorophyta_X"	"p:Evosea-Evosea_X"	0.04065267266856	0.34	0.533394495412844
"p:Evosea-Evosea_X"	"p:Stramenopiles-Gyrista"	0.00931373685463507	0.96	1
"p:Evosea-Evosea_X"	"p:Rhizaria-Cercozoa"	-0.058630920790217	0.62	0.803181818181818
"p:Evosea-Evosea_X"	"p:Stramenopiles-Bigyra"	0.137743401691924	0	0
"p:Alveolata-Dinoflagellata"	"p:Evosea-Evosea_X"	-0.115484743200224	0.1	0.216455696202532
"p:Alveolata-Alveolata_X"	"p:Evosea-Evosea_X"	-0.0739704730935844	0.26	0.4446
"p:Alveolata-Chrompodellids"	"p:Evosea-Evosea_X"	-0.0442003323729113	0.58	0.768837209302326
"p:Evosea-Evosea_X"	"p:Opisthokonta-Choanoflagellata"	0.0365173194712177	0.38	0.585405405405405
"p:Centroplasthelida-Centroplasthelida_X"	"p:Evosea-Evosea_X"	-0.0969253707356469	0.04	0.100588235294118
"p:Evosea-Evosea_X"	"p:Kathablepharidacea-Kathablepharida"	-0.0678966539263641	0.42	0.619137931034483
"p:Evosea-Evosea_X"	"p:Rhodophyta-Rhodophyta_X"	-0.00116332759557775	0.76	0.921702127659574
"p:Ancyromonadida-Ancyromonadida_X"	"p:Evosea-Evosea_X"	0.133747247373875	0.16	0.318139534883721
"p:Evosea-Evosea_X"	"p:Opisthokonta-Ichthyosporea"	0.123175428280084	0.0600000000000001	0.14054794520548
"p:Evosea-Evosea_X"	"p:Evosea-Evosea_X"	1	1	1
"p:Alveolata-Ciliophora"	"p:Tubulinea-Tubulinea_X"	-0.145634913694548	0.18	0.342
"p:Cryptophyta-Cryptophyta_X"	"p:Tubulinea-Tubulinea_X"	-0.290696270907583	0	0
"p:Alveolata-Perkinsea"	"p:Tubulinea-Tubulinea_X"	0.0278129514720042	0.56	0.754015748031496
"p:Chlorophyta-Chlorophyta_X"	"p:Tubulinea-Tubulinea_X"	0.0802485434040455	0.18	0.342
"p:Stramenopiles-Gyrista"	"p:Tubulinea-Tubulinea_X"	-0.0198719454939128	0.44	0.632268907563025
"p:Rhizaria-Cercozoa"	"p:Tubulinea-Tubulinea_X"	-0.0233757747609288	0.74	0.903857142857143
"p:Stramenopiles-Bigyra"	"p:Tubulinea-Tubulinea_X"	0.136070404600016	0	0
"p:Alveolata-Dinoflagellata"	"p:Tubulinea-Tubulinea_X"	-0.138581686728435	0	0
"p:Alveolata-Alveolata_X"	"p:Tubulinea-Tubulinea_X"	-0.0819080231745974	0.28	0.469411764705882
"p:Alveolata-Chrompodellids"	"p:Tubulinea-Tubulinea_X"	-0.124694637337133	0	0
"p:Opisthokonta-Choanoflagellata"	"p:Tubulinea-Tubulinea_X"	-0.00492227741483389	1	1
"p:Centroplasthelida-Centroplasthelida_X"	"p:Tubulinea-Tubulinea_X"	0.0311600810002913	0.58	0.768837209302326
"p:Kathablepharidacea-Kathablepharida"	"p:Tubulinea-Tubulinea_X"	0.00763873705462947	0.86	1
"p:Rhodophyta-Rhodophyta_X"	"p:Tubulinea-Tubulinea_X"	0.00450545089400919	0.78	0.939295774647887
"p:Ancyromonadida-Ancyromonadida_X"	"p:Tubulinea-Tubulinea_X"	0.0744396572542742	0.86	1
"p:Opisthokonta-Ichthyosporea"	"p:Tubulinea-Tubulinea_X"	0.115633032495906	0.0600000000000001	0.14054794520548
"p:Evosea-Evosea_X"	"p:Tubulinea-Tubulinea_X"	0.192711105911191	0	0
"p:Tubulinea-Tubulinea_X"	"p:Tubulinea-Tubulinea_X"	1	1	1
